instant,date,season,year,month,hour,holiday,weekday,workingday,weather,temp,atemp,hum,windspeed,casual,registered,cnt,day_type,day_name
17,2011-01-01,Spring,2011,Jan,16,No,Saturday,Holiday,Mist/Cloudy,0.42,0.4242,0.82,0.2985,41,52,93,Weekend/Holiday,Saturday
18,2011-01-01,Spring,2011,Jan,17,No,Saturday,Holiday,Mist/Cloudy,0.44,0.4394,0.82,0.2836,15,52,67,Weekend/Holiday,Saturday
19,2011-01-01,Spring,2011,Jan,18,No,Saturday,Holiday,Light Snow/Rain,0.42,0.4242,0.88,0.2537,9,26,35,Weekend/Holiday,Saturday
20,2011-01-01,Spring,2011,Jan,19,No,Saturday,Holiday,Light Snow/Rain,0.42,0.4242,0.88,0.2537,6,31,37,Weekend/Holiday,Saturday
21,2011-01-01,Spring,2011,Jan,20,No,Saturday,Holiday,Mist/Cloudy,0.4,0.4091,0.87,0.2537,11,25,36,Weekend/Holiday,Saturday
22,2011-01-01,Spring,2011,Jan,21,No,Saturday,Holiday,Mist/Cloudy,0.4,0.4091,0.87,0.194,3,31,34,Weekend/Holiday,Saturday
23,2011-01-01,Spring,2011,Jan,22,No,Saturday,Holiday,Mist/Cloudy,0.4,0.4091,0.94,0.2239,11,17,28,Weekend/Holiday,Saturday
24,2011-01-01,Spring,2011,Jan,23,No,Saturday,Holiday,Mist/Cloudy,0.46,0.4545,0.88,0.2985,15,24,39,Weekend/Holiday,Saturday
25,2011-01-02,Spring,2011,Jan,0,No,Sunday,Holiday,Mist/Cloudy,0.46,0.4545,0.88,0.2985,4,13,17,Weekend/Holiday,Sunday
26,2011-01-02,Spring,2011,Jan,1,No,Sunday,Holiday,Mist/Cloudy,0.44,0.4394,0.94,0.2537,1,16,17,Weekend/Holiday,Sunday
27,2011-01-02,Spring,2011,Jan,2,No,Sunday,Holiday,Mist/Cloudy,0.42,0.4242,1.0,0.2836,1,8,9,Weekend/Holiday,Sunday
28,2011-01-02,Spring,2011,Jan,3,No,Sunday,Holiday,Mist/Cloudy,0.46,0.4545,0.94,0.194,2,4,6,Weekend/Holiday,Sunday
29,2011-01-02,Spring,2011,Jan,4,No,Sunday,Holiday,Mist/Cloudy,0.46,0.4545,0.94,0.194,2,1,3,Weekend/Holiday,Sunday
30,2011-01-02,Spring,2011,Jan,6,No,Sunday,Holiday,Light Snow/Rain,0.42,0.4242,0.77,0.2985,0,2,2,Weekend/Holiday,Sunday
31,2011-01-02,Spring,2011,Jan,7,No,Sunday,Holiday,Mist/Cloudy,0.4,0.4091,0.76,0.194,0,1,1,Weekend/Holiday,Sunday
32,2011-01-02,Spring,2011,Jan,8,No,Sunday,Holiday,Light Snow/Rain,0.4,0.4091,0.71,0.2239,0,8,8,Weekend/Holiday,Sunday
33,2011-01-02,Spring,2011,Jan,9,No,Sunday,Holiday,Mist/Cloudy,0.38,0.3939,0.76,0.2239,1,19,20,Weekend/Holiday,Sunday
34,2011-01-02,Spring,2011,Jan,10,No,Sunday,Holiday,Mist/Cloudy,0.36,0.3485,0.81,0.2239,7,46,53,Weekend/Holiday,Sunday
35,2011-01-02,Spring,2011,Jan,11,No,Sunday,Holiday,Mist/Cloudy,0.36,0.3333,0.71,0.2537,16,54,70,Weekend/Holiday,Sunday
36,2011-01-02,Spring,2011,Jan,12,No,Sunday,Holiday,Mist/Cloudy,0.36,0.3333,0.66,0.2985,20,73,93,Weekend/Holiday,Sunday
37,2011-01-02,Spring,2011,Jan,13,No,Sunday,Holiday,Mist/Cloudy,0.36,0.3485,0.66,0.1343,11,64,75,Weekend/Holiday,Sunday
38,2011-01-02,Spring,2011,Jan,14,No,Sunday,Holiday,Light Snow/Rain,0.36,0.3485,0.76,0.194,4,55,59,Weekend/Holiday,Sunday
39,2011-01-02,Spring,2011,Jan,15,No,Sunday,Holiday,Light Snow/Rain,0.34,0.3333,0.81,0.1642,19,55,74,Weekend/Holiday,Sunday
40,2011-01-02,Spring,2011,Jan,16,No,Sunday,Holiday,Light Snow/Rain,0.34,0.3333,0.71,0.1642,9,67,76,Weekend/Holiday,Sunday
41,2011-01-02,Spring,2011,Jan,17,No,Sunday,Holiday,Clear/Partly Cloudy,0.34,0.3333,0.57,0.194,7,58,65,Weekend/Holiday,Sunday
42,2011-01-02,Spring,2011,Jan,18,No,Sunday,Holiday,Mist/Cloudy,0.36,0.3333,0.46,0.3284,10,43,53,Weekend/Holiday,Sunday
43,2011-01-02,Spring,2011,Jan,19,No,Sunday,Holiday,Clear/Partly Cloudy,0.32,0.2879,0.42,0.4478,1,29,30,Weekend/Holiday,Sunday
44,2011-01-02,Spring,2011,Jan,20,No,Sunday,Holiday,Clear/Partly Cloudy,0.3,0.2727,0.39,0.3582,5,17,22,Weekend/Holiday,Sunday
45,2011-01-02,Spring,2011,Jan,21,No,Sunday,Holiday,Clear/Partly Cloudy,0.26,0.2273,0.44,0.3284,11,20,31,Weekend/Holiday,Sunday
46,2011-01-02,Spring,2011,Jan,22,No,Sunday,Holiday,Clear/Partly Cloudy,0.24,0.2121,0.44,0.2985,0,9,9,Weekend/Holiday,Sunday
47,2011-01-02,Spring,2011,Jan,23,No,Sunday,Holiday,Clear/Partly Cloudy,0.22,0.2273,0.47,0.1642,0,8,8,Weekend/Holiday,Sunday
48,2011-01-03,Spring,2011,Jan,0,No,Monday,Working Day,Clear/Partly Cloudy,0.22,0.197,0.44,0.3582,0,5,5,Working Day,Monday
49,2011-01-03,Spring,2011,Jan,1,No,Monday,Working Day,Clear/Partly Cloudy,0.2,0.1667,0.44,0.4179,0,2,2,Working Day,Monday
50,2011-01-03,Spring,2011,Jan,4,No,Monday,Working Day,Clear/Partly Cloudy,0.16,0.1364,0.47,0.3881,0,1,1,Working Day,Monday
51,2011-01-03,Spring,2011,Jan,5,No,Monday,Working Day,Clear/Partly Cloudy,0.16,0.1364,0.47,0.2836,0,3,3,Working Day,Monday
52,2011-01-03,Spring,2011,Jan,6,No,Monday,Working Day,Clear/Partly Cloudy,0.14,0.1061,0.5,0.3881,0,30,30,Working Day,Monday
53,2011-01-03,Spring,2011,Jan,7,No,Monday,Working Day,Clear/Partly Cloudy,0.14,0.1364,0.5,0.194,1,63,64,Working Day,Monday
54,2011-01-03,Spring,2011,Jan,8,No,Monday,Working Day,Clear/Partly Cloudy,0.14,0.1212,0.5,0.2836,1,153,154,Working Day,Monday
55,2011-01-03,Spring,2011,Jan,9,No,Monday,Working Day,Clear/Partly Cloudy,0.16,0.1364,0.43,0.3881,7,81,88,Working Day,Monday
56,2011-01-03,Spring,2011,Jan,10,No,Monday,Working Day,Clear/Partly Cloudy,0.18,0.1667,0.43,0.2537,11,33,44,Working Day,Monday
57,2011-01-03,Spring,2011,Jan,11,No,Monday,Working Day,Clear/Partly Cloudy,0.2,0.1818,0.4,0.3284,10,41,51,Working Day,Monday
58,2011-01-03,Spring,2011,Jan,12,No,Monday,Working Day,Clear/Partly Cloudy,0.22,0.2121,0.35,0.2985,13,48,61,Working Day,Monday
59,2011-01-03,Spring,2011,Jan,13,No,Monday,Working Day,Clear/Partly Cloudy,0.24,0.2121,0.35,0.2836,8,53,61,Working Day,Monday
60,2011-01-03,Spring,2011,Jan,14,No,Monday,Working Day,Clear/Partly Cloudy,0.26,0.2424,0.3,0.2836,11,66,77,Working Day,Monday
61,2011-01-03,Spring,2011,Jan,15,No,Monday,Working Day,Clear/Partly Cloudy,0.26,0.2424,0.3,0.2537,14,58,72,Working Day,Monday
62,2011-01-03,Spring,2011,Jan,16,No,Monday,Working Day,Clear/Partly Cloudy,0.26,0.2424,0.3,0.2537,9,67,76,Working Day,Monday
63,2011-01-03,Spring,2011,Jan,17,No,Monday,Working Day,Clear/Partly Cloudy,0.24,0.2273,0.3,0.2239,11,146,157,Working Day,Monday
64,2011-01-03,Spring,2011,Jan,18,No,Monday,Working Day,Clear/Partly Cloudy,0.24,0.2576,0.32,0.1045,9,148,157,Working Day,Monday
65,2011-01-03,Spring,2011,Jan,19,No,Monday,Working Day,Clear/Partly Cloudy,0.2,0.2576,0.47,0.0,8,102,110,Working Day,Monday
66,2011-01-03,Spring,2011,Jan,20,No,Monday,Working Day,Clear/Partly Cloudy,0.2,0.2273,0.47,0.1045,3,49,52,Working Day,Monday
67,2011-01-03,Spring,2011,Jan,21,No,Monday,Working Day,Clear/Partly Cloudy,0.18,0.197,0.64,0.1343,3,49,52,Working Day,Monday
68,2011-01-03,Spring,2011,Jan,22,No,Monday,Working Day,Clear/Partly Cloudy,0.14,0.1515,0.69,0.1343,0,20,20,Working Day,Monday
69,2011-01-03,Spring,2011,Jan,23,No,Monday,Working Day,Clear/Partly Cloudy,0.18,0.2121,0.55,0.1045,1,11,12,Working Day,Monday
70,2011-01-04,Spring,2011,Jan,0,No,Tuesday,Working Day,Clear/Partly Cloudy,0.16,0.1818,0.55,0.1045,0,5,5,Working Day,Tuesday
71,2011-01-04,Spring,2011,Jan,1,No,Tuesday,Working Day,Clear/Partly Cloudy,0.16,0.1818,0.59,0.1045,0,2,2,Working Day,Tuesday
72,2011-01-04,Spring,2011,Jan,2,No,Tuesday,Working Day,Clear/Partly Cloudy,0.14,0.1515,0.63,0.1343,0,1,1,Working Day,Tuesday
73,2011-01-04,Spring,2011,Jan,4,No,Tuesday,Working Day,Clear/Partly Cloudy,0.14,0.1818,0.63,0.0896,0,2,2,Working Day,Tuesday
74,2011-01-04,Spring,2011,Jan,5,No,Tuesday,Working Day,Clear/Partly Cloudy,0.12,0.1515,0.68,0.1045,0,4,4,Working Day,Tuesday
75,2011-01-04,Spring,2011,Jan,6,No,Tuesday,Working Day,Clear/Partly Cloudy,0.12,0.1515,0.74,0.1045,0,36,36,Working Day,Tuesday
76,2011-01-04,Spring,2011,Jan,7,No,Tuesday,Working Day,Clear/Partly Cloudy,0.12,0.1515,0.74,0.1343,2,92,94,Working Day,Tuesday
77,2011-01-04,Spring,2011,Jan,8,No,Tuesday,Working Day,Clear/Partly Cloudy,0.14,0.1515,0.69,0.1642,2,177,179,Working Day,Tuesday
78,2011-01-04,Spring,2011,Jan,9,No,Tuesday,Working Day,Clear/Partly Cloudy,0.16,0.1515,0.64,0.2239,2,98,100,Working Day,Tuesday
79,2011-01-04,Spring,2011,Jan,10,No,Tuesday,Working Day,Mist/Cloudy,0.16,0.1364,0.69,0.3284,5,37,42,Working Day,Tuesday
80,2011-01-04,Spring,2011,Jan,11,No,Tuesday,Working Day,Clear/Partly Cloudy,0.22,0.2121,0.51,0.2985,7,50,57,Working Day,Tuesday
81,2011-01-04,Spring,2011,Jan,12,No,Tuesday,Working Day,Clear/Partly Cloudy,0.22,0.2273,0.51,0.1642,12,66,78,Working Day,Tuesday
82,2011-01-04,Spring,2011,Jan,13,No,Tuesday,Working Day,Clear/Partly Cloudy,0.24,0.2273,0.56,0.194,18,79,97,Working Day,Tuesday
83,2011-01-04,Spring,2011,Jan,14,No,Tuesday,Working Day,Clear/Partly Cloudy,0.26,0.2576,0.52,0.2239,9,54,63,Working Day,Tuesday
84,2011-01-04,Spring,2011,Jan,15,No,Tuesday,Working Day,Clear/Partly Cloudy,0.28,0.2727,0.52,0.2537,17,48,65,Working Day,Tuesday
85,2011-01-04,Spring,2011,Jan,16,No,Tuesday,Working Day,Clear/Partly Cloudy,0.3,0.2879,0.49,0.2537,15,68,83,Working Day,Tuesday
86,2011-01-04,Spring,2011,Jan,17,No,Tuesday,Working Day,Clear/Partly Cloudy,0.28,0.2727,0.48,0.2239,10,202,212,Working Day,Tuesday
87,2011-01-04,Spring,2011,Jan,18,No,Tuesday,Working Day,Clear/Partly Cloudy,0.26,0.2576,0.48,0.194,3,179,182,Working Day,Tuesday
88,2011-01-04,Spring,2011,Jan,19,No,Tuesday,Working Day,Clear/Partly Cloudy,0.24,0.2576,0.48,0.1045,2,110,112,Working Day,Tuesday
89,2011-01-04,Spring,2011,Jan,20,No,Tuesday,Working Day,Clear/Partly Cloudy,0.24,0.2576,0.48,0.1045,1,53,54,Working Day,Tuesday
90,2011-01-04,Spring,2011,Jan,21,No,Tuesday,Working Day,Clear/Partly Cloudy,0.22,0.2727,0.64,0.0,0,48,48,Working Day,Tuesday
91,2011-01-04,Spring,2011,Jan,22,No,Tuesday,Working Day,Clear/Partly Cloudy,0.22,0.2576,0.64,0.0896,1,34,35,Working Day,Tuesday
92,2011-01-04,Spring,2011,Jan,23,No,Tuesday,Working Day,Clear/Partly Cloudy,0.2,0.2273,0.69,0.0896,2,9,11,Working Day,Tuesday
93,2011-01-05,Spring,2011,Jan,0,No,Wednesday,Working Day,Clear/Partly Cloudy,0.2,0.2576,0.64,0.0,0,6,6,Working Day,Wednesday
94,2011-01-05,Spring,2011,Jan,1,No,Wednesday,Working Day,Clear/Partly Cloudy,0.16,0.197,0.74,0.0896,0,6,6,Working Day,Wednesday
95,2011-01-05,Spring,2011,Jan,2,No,Wednesday,Working Day,Clear/Partly Cloudy,0.16,0.197,0.74,0.0896,0,2,2,Working Day,Wednesday
96,2011-01-05,Spring,2011,Jan,4,No,Wednesday,Working Day,Clear/Partly Cloudy,0.24,0.2273,0.48,0.2239,0,2,2,Working Day,Wednesday
97,2011-01-05,Spring,2011,Jan,5,No,Wednesday,Working Day,Clear/Partly Cloudy,0.22,0.2273,0.47,0.1642,0,3,3,Working Day,Wednesday
98,2011-01-05,Spring,2011,Jan,6,No,Wednesday,Working Day,Clear/Partly Cloudy,0.2,0.197,0.47,0.2239,0,33,33,Working Day,Wednesday
99,2011-01-05,Spring,2011,Jan,7,No,Wednesday,Working Day,Clear/Partly Cloudy,0.18,0.1818,0.43,0.194,1,87,88,Working Day,Wednesday
100,2011-01-05,Spring,2011,Jan,8,No,Wednesday,Working Day,Clear/Partly Cloudy,0.2,0.1818,0.4,0.2985,3,192,195,Working Day,Wednesday
101,2011-01-05,Spring,2011,Jan,9,No,Wednesday,Working Day,Clear/Partly Cloudy,0.22,0.197,0.37,0.3284,6,109,115,Working Day,Wednesday
102,2011-01-05,Spring,2011,Jan,10,No,Wednesday,Working Day,Clear/Partly Cloudy,0.22,0.197,0.37,0.3284,4,53,57,Working Day,Wednesday
103,2011-01-05,Spring,2011,Jan,11,No,Wednesday,Working Day,Clear/Partly Cloudy,0.26,0.2273,0.33,0.3284,12,34,46,Working Day,Wednesday
104,2011-01-05,Spring,2011,Jan,12,No,Wednesday,Working Day,Clear/Partly Cloudy,0.26,0.2273,0.33,0.3284,5,74,79,Working Day,Wednesday
105,2011-01-05,Spring,2011,Jan,13,No,Wednesday,Working Day,Clear/Partly Cloudy,0.28,0.2576,0.3,0.2985,6,65,71,Working Day,Wednesday
106,2011-01-05,Spring,2011,Jan,14,No,Wednesday,Working Day,Clear/Partly Cloudy,0.3,0.2879,0.28,0.194,10,52,62,Working Day,Wednesday
107,2011-01-05,Spring,2011,Jan,15,No,Wednesday,Working Day,Clear/Partly Cloudy,0.3,0.2879,0.28,0.194,7,55,62,Working Day,Wednesday
108,2011-01-05,Spring,2011,Jan,16,No,Wednesday,Working Day,Clear/Partly Cloudy,0.3,0.3182,0.28,0.0896,4,85,89,Working Day,Wednesday
109,2011-01-05,Spring,2011,Jan,17,No,Wednesday,Working Day,Clear/Partly Cloudy,0.24,0.2273,0.38,0.194,4,186,190,Working Day,Wednesday
110,2011-01-05,Spring,2011,Jan,18,No,Wednesday,Working Day,Clear/Partly Cloudy,0.24,0.2424,0.38,0.1343,3,166,169,Working Day,Wednesday
111,2011-01-05,Spring,2011,Jan,19,No,Wednesday,Working Day,Clear/Partly Cloudy,0.24,0.2576,0.38,0.1045,5,127,132,Working Day,Wednesday
112,2011-01-05,Spring,2011,Jan,20,No,Wednesday,Working Day,Clear/Partly Cloudy,0.22,0.2273,0.47,0.1642,7,82,89,Working Day,Wednesday
113,2011-01-05,Spring,2011,Jan,21,No,Wednesday,Working Day,Clear/Partly Cloudy,0.2,0.197,0.51,0.194,3,40,43,Working Day,Wednesday
114,2011-01-05,Spring,2011,Jan,22,No,Wednesday,Working Day,Clear/Partly Cloudy,0.18,0.197,0.55,0.1343,1,41,42,Working Day,Wednesday
115,2011-01-05,Spring,2011,Jan,23,No,Wednesday,Working Day,Clear/Partly Cloudy,0.2,0.2576,0.47,0.0,1,18,19,Working Day,Wednesday
116,2011-01-06,Spring,2011,Jan,0,No,Thursday,Working Day,Clear/Partly Cloudy,0.18,0.2424,0.55,0.0,0,11,11,Working Day,Thursday
117,2011-01-06,Spring,2011,Jan,1,No,Thursday,Working Day,Clear/Partly Cloudy,0.16,0.2273,0.64,0.0,0,4,4,Working Day,Thursday
118,2011-01-06,Spring,2011,Jan,2,No,Thursday,Working Day,Clear/Partly Cloudy,0.16,0.2273,0.64,0.0,0,2,2,Working Day,Thursday
119,2011-01-06,Spring,2011,Jan,4,No,Thursday,Working Day,Mist/Cloudy,0.16,0.197,0.64,0.0896,0,1,1,Working Day,Thursday
120,2011-01-06,Spring,2011,Jan,5,No,Thursday,Working Day,Mist/Cloudy,0.14,0.1818,0.69,0.0896,0,4,4,Working Day,Thursday
121,2011-01-06,Spring,2011,Jan,6,No,Thursday,Working Day,Mist/Cloudy,0.14,0.1667,0.63,0.1045,0,36,36,Working Day,Thursday
122,2011-01-06,Spring,2011,Jan,7,No,Thursday,Working Day,Mist/Cloudy,0.16,0.2273,0.59,0.0,0,95,95,Working Day,Thursday
123,2011-01-06,Spring,2011,Jan,8,No,Thursday,Working Day,Clear/Partly Cloudy,0.16,0.2273,0.59,0.0,3,216,219,Working Day,Thursday
124,2011-01-06,Spring,2011,Jan,9,No,Thursday,Working Day,Mist/Cloudy,0.18,0.2424,0.51,0.0,6,116,122,Working Day,Thursday
125,2011-01-06,Spring,2011,Jan,10,No,Thursday,Working Day,Clear/Partly Cloudy,0.2,0.2576,0.47,0.0,3,42,45,Working Day,Thursday
126,2011-01-06,Spring,2011,Jan,11,No,Thursday,Working Day,Clear/Partly Cloudy,0.22,0.2576,0.44,0.0896,2,57,59,Working Day,Thursday
127,2011-01-06,Spring,2011,Jan,12,No,Thursday,Working Day,Clear/Partly Cloudy,0.26,0.2879,0.35,0.0,6,78,84,Working Day,Thursday
128,2011-01-06,Spring,2011,Jan,13,No,Thursday,Working Day,Clear/Partly Cloudy,0.26,0.2727,0.35,0.1045,12,55,67,Working Day,Thursday
129,2011-01-06,Spring,2011,Jan,14,No,Thursday,Working Day,Clear/Partly Cloudy,0.28,0.2727,0.36,0.1642,11,59,70,Working Day,Thursday
130,2011-01-06,Spring,2011,Jan,15,No,Thursday,Working Day,Clear/Partly Cloudy,0.28,0.2727,0.36,0.0,8,54,62,Working Day,Thursday
131,2011-01-06,Spring,2011,Jan,16,No,Thursday,Working Day,Clear/Partly Cloudy,0.26,0.2576,0.38,0.1642,12,74,86,Working Day,Thursday
132,2011-01-06,Spring,2011,Jan,17,No,Thursday,Working Day,Clear/Partly Cloudy,0.22,0.2273,0.51,0.1642,9,163,172,Working Day,Thursday
133,2011-01-06,Spring,2011,Jan,18,No,Thursday,Working Day,Clear/Partly Cloudy,0.22,0.2273,0.51,0.1343,5,158,163,Working Day,Thursday
134,2011-01-06,Spring,2011,Jan,19,No,Thursday,Working Day,Clear/Partly Cloudy,0.22,0.2576,0.55,0.0896,3,109,112,Working Day,Thursday
135,2011-01-06,Spring,2011,Jan,20,No,Thursday,Working Day,Clear/Partly Cloudy,0.2,0.2121,0.51,0.1642,3,66,69,Working Day,Thursday
136,2011-01-06,Spring,2011,Jan,21,No,Thursday,Working Day,Mist/Cloudy,0.22,0.2121,0.55,0.2239,0,48,48,Working Day,Thursday
137,2011-01-06,Spring,2011,Jan,22,No,Thursday,Working Day,Mist/Cloudy,0.22,0.2121,0.51,0.2836,1,51,52,Working Day,Thursday
138,2011-01-06,Spring,2011,Jan,23,No,Thursday,Working Day,Mist/Cloudy,0.2,0.197,0.59,0.194,4,19,23,Working Day,Thursday
139,2011-01-07,Spring,2011,Jan,0,No,Friday,Working Day,Mist/Cloudy,0.2,0.197,0.64,0.194,4,13,17,Working Day,Friday
140,2011-01-07,Spring,2011,Jan,1,No,Friday,Working Day,Mist/Cloudy,0.2,0.197,0.69,0.2239,2,5,7,Working Day,Friday
141,2011-01-07,Spring,2011,Jan,2,No,Friday,Working Day,Mist/Cloudy,0.2,0.197,0.69,0.2239,0,1,1,Working Day,Friday
142,2011-01-07,Spring,2011,Jan,4,No,Friday,Working Day,Mist/Cloudy,0.2,0.2121,0.69,0.1343,0,1,1,Working Day,Friday
143,2011-01-07,Spring,2011,Jan,5,No,Friday,Working Day,Light Snow/Rain,0.22,0.2727,0.55,0.0,0,5,5,Working Day,Friday
144,2011-01-07,Spring,2011,Jan,6,No,Friday,Working Day,Mist/Cloudy,0.2,0.2576,0.69,0.0,8,26,34,Working Day,Friday
145,2011-01-07,Spring,2011,Jan,7,No,Friday,Working Day,Clear/Partly Cloudy,0.2,0.2121,0.69,0.1343,8,76,84,Working Day,Friday
146,2011-01-07,Spring,2011,Jan,8,No,Friday,Working Day,Clear/Partly Cloudy,0.2,0.197,0.51,0.2537,20,190,210,Working Day,Friday
147,2011-01-07,Spring,2011,Jan,9,No,Friday,Working Day,Clear/Partly Cloudy,0.2,0.1818,0.47,0.2985,9,125,134,Working Day,Friday
148,2011-01-07,Spring,2011,Jan,10,No,Friday,Working Day,Clear/Partly Cloudy,0.22,0.197,0.37,0.3284,16,47,63,Working Day,Friday
149,2011-01-07,Spring,2011,Jan,11,No,Friday,Working Day,Mist/Cloudy,0.2,0.197,0.4,0.2239,19,48,67,Working Day,Friday
150,2011-01-07,Spring,2011,Jan,12,No,Friday,Working Day,Mist/Cloudy,0.2,0.197,0.37,0.2537,9,50,59,Working Day,Friday
151,2011-01-07,Spring,2011,Jan,13,No,Friday,Working Day,Mist/Cloudy,0.2,0.1818,0.37,0.2836,9,64,73,Working Day,Friday
152,2011-01-07,Spring,2011,Jan,14,No,Friday,Working Day,Mist/Cloudy,0.2,0.197,0.4,0.2537,7,43,50,Working Day,Friday
153,2011-01-07,Spring,2011,Jan,15,No,Friday,Working Day,Mist/Cloudy,0.2,0.2121,0.37,0.1642,9,63,72,Working Day,Friday
154,2011-01-07,Spring,2011,Jan,16,No,Friday,Working Day,Mist/Cloudy,0.2,0.2121,0.37,0.1642,5,82,87,Working Day,Friday
155,2011-01-07,Spring,2011,Jan,17,No,Friday,Working Day,Mist/Cloudy,0.2,0.2576,0.37,0.0,9,178,187,Working Day,Friday
156,2011-01-07,Spring,2011,Jan,18,No,Friday,Working Day,Clear/Partly Cloudy,0.2,0.2273,0.4,0.0896,7,116,123,Working Day,Friday
157,2011-01-07,Spring,2011,Jan,19,No,Friday,Working Day,Clear/Partly Cloudy,0.16,0.197,0.55,0.0896,3,92,95,Working Day,Friday
158,2011-01-07,Spring,2011,Jan,20,No,Friday,Working Day,Clear/Partly Cloudy,0.18,0.2121,0.47,0.1045,1,50,51,Working Day,Friday
159,2011-01-07,Spring,2011,Jan,21,No,Friday,Working Day,Clear/Partly Cloudy,0.18,0.197,0.47,0.1343,0,39,39,Working Day,Friday
160,2011-01-07,Spring,2011,Jan,22,No,Friday,Working Day,Mist/Cloudy,0.18,0.197,0.43,0.1642,2,34,36,Working Day,Friday
161,2011-01-07,Spring,2011,Jan,23,No,Friday,Working Day,Mist/Cloudy,0.18,0.197,0.51,0.1642,1,14,15,Working Day,Friday
162,2011-01-08,Spring,2011,Jan,0,No,Saturday,Holiday,Mist/Cloudy,0.18,0.197,0.51,0.1642,1,24,25,Weekend/Holiday,Saturday
163,2011-01-08,Spring,2011,Jan,1,No,Saturday,Holiday,Mist/Cloudy,0.18,0.2121,0.55,0.0896,1,15,16,Weekend/Holiday,Saturday
164,2011-01-08,Spring,2011,Jan,2,No,Saturday,Holiday,Mist/Cloudy,0.18,0.2424,0.55,0.0,3,13,16,Weekend/Holiday,Saturday
165,2011-01-08,Spring,2011,Jan,3,No,Saturday,Holiday,Light Snow/Rain,0.18,0.197,0.55,0.1642,0,7,7,Weekend/Holiday,Saturday
166,2011-01-08,Spring,2011,Jan,4,No,Saturday,Holiday,Light Snow/Rain,0.18,0.197,0.55,0.1642,0,1,1,Weekend/Holiday,Saturday
167,2011-01-08,Spring,2011,Jan,5,No,Saturday,Holiday,Mist/Cloudy,0.16,0.1667,0.74,0.1642,0,5,5,Weekend/Holiday,Saturday
168,2011-01-08,Spring,2011,Jan,6,No,Saturday,Holiday,Mist/Cloudy,0.16,0.1667,0.74,0.1642,0,2,2,Weekend/Holiday,Saturday
169,2011-01-08,Spring,2011,Jan,7,No,Saturday,Holiday,Mist/Cloudy,0.16,0.1818,0.74,0.1045,1,8,9,Weekend/Holiday,Saturday
170,2011-01-08,Spring,2011,Jan,8,No,Saturday,Holiday,Light Snow/Rain,0.16,0.1818,0.93,0.1045,0,15,15,Weekend/Holiday,Saturday
